,word_ngram_freq,volume_ngram_freq,freq
improper,6529385,2333524,12
regarding,46130224,6995445,5
regarded,56261135,6186662,4
scottwall,464,297,4
completed,44191661,7310957,1
alternative,50908630,8499118,1
exact,30097041,6593315,1
extent,97114220,7699661,1
enough,188948038,13701241,1
mentioned,83540627,7484907,2
analogies,3019612,1236240,1
involve,27348106,5000164,2
curve,39528834,3720944,10
inverting,680149,338410,2
empty,32665681,6684854,1
changing,47130660,9839464,2
side,244375385,12948123,6
fellow,44808884,8069388,3
sub,32990466,6266382,1
intricate,5033163,2518376,3
counting,10858924,4270190,1
backed,10313493,3783175,1
equivalently,580767,267302,10
term,152976238,10914640,4
purposes,70367846,7282787,2
cocompact,683,140,1
purpose,139327457,10081407,3
automorphisms,42720,7778,4
deduce,2345511,1128736,1
stopping,9739723,4195716,2
though,315756488,16109202,1
dense,12484014,3121740,1
obtains,4441380,1823691,4
proliferate,761506,414398,1
precomposing,943,319,1
conclusion,56665504,9753566,11
homotope,145,65,1
elsewhere,36721837,7319708,1
partitions,2278638,749722,4
inv,1004444,216666,1
subdivides,154911,118125,1
faces,28435004,6910612,1
determines,12698826,3344582,10
hsection,231,220,4
ambient,3577639,823687,3
crucial,21810690,4099574,1
line,237500159,13911324,6
stripping,2323795,1207187,2
subfaces,719,374,1
exponentially,1312726,543978,1
gluings,1425,479,1
true,209902030,12809911,9
ignoring,6283630,3277338,4
choosing,13731408,5202042,2
describe,47790971,7275663,8
preimage,18738,4418,2
arbitrarily,3752162,1777597,2
amount,147854681,9732703,1
piece,63366737,7893719,1
simplices,49290,18662,6
self,209487136,15872179,3
iiia,354686,92700,5
fixes,1983817,1205917,2
indicated,54574075,6775719,4
equality,23099883,4023124,1
possible,272346265,10240460,6
false,46927953,7134224,2
normalized,3147430,783812,17
minimality,64812,18902,5
justify,17136643,4534787,2
backwards,5494460,2555814,1
collapse,13682365,3987334,170
masur,79064,31916,17
expansion,38731171,5455815,25
middle,124608043,14458929,2
know,405542218,10986022,3
ar,8352013,2955048,33
guarantee,16373633,5021249,4
curved,8776299,2505258,1
edge,48227636,6937049,175
factored,551452,291480,3
steps,59851144,8766662,5
separate,76484418,10597054,1
key,83552147,11203703,4
convention,44870641,4825453,5
narrowing,2989335,1571058,1
posteriori,615428,235496,1
homeomorphism,30916,6691,8
energy,142518230,8490700,2
suppress,6427268,2671265,1
complex1,2823,2458,12
subsectio,780,310,2
desires,19550654,4985025,1
reader,52914263,7109232,2
assume,48350191,7225765,24
prologue,3125877,1210872,2
append,952572,419160,1
complete,120475549,13400371,5
pairs,17446014,3330587,4
subpaths,11307,3785,1
lecture,16128389,4448222,1
surface,145677703,8459547,5
maximal,4099996,788449,26
element,61321484,6964865,14
home,262557366,14228851,7
depending,28882036,6562333,12
rigorously,1985656,1264046,1
dispense,2824535,1632741,1
elements,96488567,8395980,6
associates,15659086,4356863,1
radius,13648648,1941321,1
combinatorial,745437,182275,1
http,1850617,290198,1
occurring,17127498,3726262,1
sequences,12273087,1748095,37
except,116721782,11936255,2
replaces,2917653,1511958,1
free,206158509,15487295,288
indicate,52265683,6621258,1
varies,18839987,4085080,4
hcase,60,58,2
via,32040070,4668892,13
bad,85320148,9371188,28
situation,134610698,8595935,6
processes,76196139,6443677,3
integer,6672054,723631,16
separates,4929532,2339052,1
invent,3482300,1898323,2
places,86150103,10459198,1
trimming,1566172,774239,1
respective,20528030,4505467,1
exploiting,2827535,1471687,1
marking,7581919,2954893,3
category,32638568,4967632,6
counterexample,210994,83472,3
everything,100209737,11035261,4
explicitly,14268455,2918579,3
subsections,1074167,336678,1
interested,51866976,9044066,1
halfway,5139581,2580462,6
decomposes,660052,265731,1
wished,28924006,4839326,1
putting,30870466,7634786,3
oxford,49518636,4611567,1
nondegenerate,104352,29869,12
c,243374626,14678573,13
name,253016135,14123875,2
subsegments,24883,11817,3
embedding,1355167,451924,1
whichever,3689495,2207341,3
preserve,20765909,5506935,1
consisting,21510147,4808344,4
detail,48469875,7319436,2
expansions,1305000,566929,4
role,140590569,8420273,3
quick,33025464,7440607,1
devoted,31462187,6680048,1
figure,273002399,12072667,69
plate,53932896,5514484,4
pushing,10087057,4027753,14
built,88977072,9329270,2
kicking,2901484,1474909,1
contractibility,16417,11406,1
uses,57125716,8914210,5
precisely,31275394,5959461,3
system,428655277,12775482,9
distances,13494231,3383393,1
purely,23246435,5107221,1
units,66087714,5446453,79
induction,12011486,1836532,22
inescapable,1843656,1066318,1
b,239260173,13099169,17
simplify,3594130,1674424,1
nthe,41200,30415,3
baseball,8731134,1681835,14
upward,15683040,4518129,3
function,147417217,9247580,15
stability,28924943,4853535,11
equivalence,3440955,867114,15
meaning,101764328,11290447,6
subsequence,120655,33789,15
maximize,4883210,1448266,2
constant,80167769,8493564,22
sharply,14227391,4156912,1
confronts,1813845,1077432,1
closed,59054121,9540920,6
pick,24192973,6427724,2
emp,647574,162164,5
assuming,21262223,6448772,9
combs,1549692,605131,1
revamping,177266,146888,1
different,381761001,12077292,12
meant,62748044,6987222,1
represent,54521326,6653648,3
trivially,226516,129082,1
trees,66033516,6338361,10
transitivity,388373,101051,3
verifying,1330544,768398,3
ones,68802924,7904753,1
factorization,361369,70000,17
isomorphism,455323,128449,19
lies,48941300,8505274,1
erroneous,5991163,2328457,1
corrugation,102323,40775,10
copies,22762456,4730967,1
